months_as_customer,age,policy_number,policy_state,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,fraud_reported,loss_ratio,profitability,vehicle_age,age_group,Parked Car,Single Vehicle Collision,Vehicle Theft,Rear Collision,Side Collision,Fire,Other,Police,Minor Damage,Total Loss,Trivial Damage,250/500,500/1000,incident_year,incident_month,incident_day,policy_bind_year,policy_bind_month,policy_bind_day
169,34,725330,2,500,1469.75,0,458132,1,3,11,15,1,0,-57600,5,0,41,0,1,0,0,0,1,38700,7740,3870,27090,13,28,0,2.19425072291206,-21063.0,13,1,0,1,0,1,0,1,0,0,1,0,0,0,0,2015,1,16,1996,7,21
118,28,283414,2,2000,1207.36,0,432896,1,2,5,4,3,0,-57000,6,1,714,22,2,0,1,0,0,74200,7420,14840,51940,13,28,0,5.121366728509586,-59711.68,28,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2015,3,1,1991,12,28
19,32,882920,0,1000,1215.85,0,454985,0,2,7,10,0,42900,-90200,5,2,573,8,1,1,1,1,1,7040,1280,640,5120,9,26,0,0.48251566119724204,7550.199999999999,10,1,0,0,1,1,0,0,0,1,1,0,0,0,1,2015,1,2,2006,1,1
253,41,261315,0,2000,1312.75,0,471453,1,6,11,7,2,81300,0,4,6,410,10,3,0,2,2,1,80740,7340,14680,58720,12,9,1,5.125372944835904,-64987.0,11,2,0,0,0,1,0,0,1,0,0,0,0,0,0,2015,1,1,2013,4,10
421,56,728025,2,500,1935.85,4000000,470826,0,5,6,15,3,49500,-81100,1,2,133,7,1,0,2,3,0,92730,16860,8430,67440,8,12,1,3.991786553710257,-69499.8,21,4,0,1,0,1,0,0,0,0,0,0,0,0,0,2015,1,12,1990,2,15
98,31,171183,2,500,671.92,0,468300,0,5,6,3,5,0,-26400,0,5,531,3,1,0,2,0,0,64080,7120,7120,49840,5,13,0,7.947374687462794,-56016.96,28,1,0,1,0,0,0,0,1,0,1,0,0,0,0,2015,1,24,1990,2,1
265,40,430029,1,1000,1454.43,0,459407,1,4,10,19,0,0,0,1,0,360,17,3,0,2,3,0,55120,6890,0,48230,0,23,0,3.1581673461997712,-37666.84,23,2,0,0,0,1,0,0,1,0,0,1,0,1,0,2015,2,21,2006,8,21
122,34,985436,1,500,1495.06,0,452249,1,5,9,14,4,38100,-31400,3,1,183,18,3,0,2,0,1,99990,18180,18180,63630,8,12,0,5.573354915521785,-82049.28,14,1,0,0,0,1,0,1,0,0,0,1,0,1,0,2015,1,7,2003,8,9
295,49,872814,1,500,1141.62,0,451672,0,1,9,11,0,34300,-24300,6,1,799,4,1,1,1,3,1,4320,480,480,3360,8,12,0,0.3153413570189731,9379.439999999999,23,3,0,0,1,1,0,0,0,1,1,0,0,0,0,2015,1,1,1992,6,13
230,42,175960,2,1000,1023.11,0,476130,1,4,0,9,3,0,-45300,1,3,65,13,3,0,1,2,1,58850,10700,10700,37450,0,23,0,4.7933913916066375,-46572.68,26,2,0,0,0,1,0,0,1,0,1,0,0,0,0,2015,2,6,2004,11,16
282,48,886473,0,2000,1422.56,7000000,473705,1,4,9,18,0,26900,-55300,6,6,193,7,1,0,1,2,0,3520,640,320,2560,0,23,0,0.20620102725602668,13550.720000000001,12,3,0,0,1,1,0,0,0,1,1,0,0,0,1,2015,2,9,1991,3,10
245,41,267885,2,2000,1212.0,0,620473,0,5,3,1,4,24400,-60500,1,6,754,4,1,1,0,1,1,73500,7350,14700,51450,7,36,0,5.053630363036303,-58956.0,26,2,0,1,0,0,0,0,0,0,0,1,0,0,1,2015,1,28,2013,8,26
186,38,536052,0,2000,1218.56,0,477373,1,5,13,18,0,39300,-60300,5,0,407,23,3,1,2,2,0,68760,11460,5730,51570,10,3,1,4.7022715336134455,-54137.28,27,2,0,0,0,0,0,0,0,1,0,1,0,1,0,2015,3,1,2006,4,21
116,30,996253,2,500,951.46,0,467227,0,3,5,9,1,0,-35500,6,5,30,8,3,0,0,3,0,59670,6630,6630,46410,13,28,1,5.226178714817228,-48252.479999999996,21,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2015,1,31,2001,11,29
289,46,858060,1,2000,1209.07,0,604138,0,3,1,5,4,0,0,0,0,514,18,1,1,0,1,1,56430,6270,6270,43890,2,0,1,3.8893529737732306,-41921.16,30,3,0,1,0,1,0,0,0,0,1,0,0,1,0,2015,2,28,2004,5,31
101,27,557218,1,500,982.7,6000000,440865,1,1,13,18,4,30800,-43700,4,0,786,9,1,0,1,0,0,5170,940,470,3760,12,9,0,0.4384179641124792,6622.4000000000015,24,1,1,0,0,1,0,0,0,1,1,0,0,0,1,2015,1,13,1997,11,23
155,34,914815,2,500,1706.79,0,462479,0,5,10,7,2,0,0,2,2,966,1,1,0,1,1,1,77040,8560,8560,59920,6,10,0,3.7614469266869386,-56558.520000000004,27,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2015,1,7,1990,9,27
19,29,789208,0,500,1304.35,0,617267,0,3,13,6,1,0,0,1,1,140,6,3,0,0,2,0,75400,11600,11600,52200,4,27,1,4.8172141935319,-59747.8,20,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2015,2,8,2002,10,12
453,60,149367,2,500,1298.91,6000000,459504,0,6,2,7,4,52600,-38800,0,6,700,0,1,1,0,0,0,70000,14000,7000,49000,5,14,1,4.4909449718096965,-54413.08,10,4,0,1,0,0,0,1,0,0,0,0,0,0,0,2015,1,6,2003,3,18
152,33,107181,2,500,942.51,0,478981,1,6,13,8,5,0,0,4,2,326,16,1,1,0,0,0,70400,6400,19200,44800,11,21,1,6.2245139750948715,-59089.880000000005,24,1,0,1,0,0,1,1,0,0,0,0,0,1,0,2015,1,30,1999,11,14
136,33,804608,0,1000,855.14,0,458582,1,6,2,13,1,37900,0,0,4,651,23,1,1,0,1,1,30700,3070,6140,21490,12,11,0,2.9917128579335937,-20438.32,10,1,0,1,0,0,1,1,0,0,1,0,0,1,0,2015,1,4,2002,4,12
140,32,713172,1,1000,985.97,5000000,457793,1,1,10,6,2,0,0,5,4,683,13,1,0,2,3,0,82170,14940,7470,59760,3,32,1,6.944937472742579,-70338.36,30,1,0,1,0,0,1,1,0,0,0,0,0,1,0,2015,2,1,1996,10,23
297,47,272330,2,500,1616.65,7000000,456363,0,4,0,12,4,0,-59500,6,1,3,0,3,0,0,3,1,44400,5550,5550,33300,7,17,0,2.2886833884885407,-25000.199999999997,26,3,0,0,0,0,1,1,0,0,0,1,0,1,0,2015,1,16,2009,11,29
3,38,941851,0,1000,1310.8,0,431289,1,5,2,13,4,0,0,0,4,561,20,1,1,0,1,0,87200,17440,8720,61040,6,6,0,5.543688332824739,-71470.4,19,2,0,1,0,0,0,1,0,0,1,0,0,0,1,2015,2,22,1991,7,16
151,36,485372,0,2000,870.63,0,431725,1,4,0,11,3,94800,-58500,5,2,143,12,3,0,1,1,0,62920,11440,5720,45760,5,13,0,6.022458832492946,-52472.44,25,2,0,0,0,0,1,0,0,1,1,0,0,1,0,2015,1,6,2005,2,26
200,35,960680,2,2000,1318.06,0,618498,0,2,3,18,5,57300,-80600,5,2,149,13,1,0,0,3,1,6490,1180,1180,4130,13,20,0,0.4103252760370039,9326.72,23,1,0,0,1,1,0,0,0,1,0,0,1,1,0,2015,1,19,1994,8,21
402,54,603632,0,2000,1285.09,0,444558,0,3,4,2,1,48000,-79600,1,6,466,19,1,0,0,2,1,67770,7530,15060,45180,8,24,1,4.394633838875099,-52348.92,12,3,0,1,0,1,0,0,1,0,0,0,0,1,0,2015,2,28,2003,8,16
276,46,283267,0,2000,1090.32,0,435518,0,1,5,5,0,0,-70400,4,1,643,17,1,0,1,2,0,51390,5710,5710,39970,13,20,1,3.9277459828307286,-38306.16,18,3,0,1,0,0,0,0,0,0,1,0,0,0,0,2015,1,5,2012,7,29
61,29,180720,2,1000,1115.27,0,613816,0,3,5,14,4,0,-66000,5,2,405,10,1,1,2,1,1,5900,590,590,4720,9,29,0,0.44084989882868425,7483.24,15,1,1,0,0,1,0,0,0,1,0,0,1,1,0,2015,1,1,1995,3,14
317,46,753844,2,1000,1012.78,0,469126,0,4,11,19,2,43700,0,6,0,779,18,1,0,2,1,0,104610,19020,19020,66570,8,24,1,8.60749619858212,-92456.64,26,3,0,1,0,0,0,1,0,0,0,0,0,1,0,2015,1,26,1999,7,22
222,40,373731,1,1000,1226.78,0,468433,0,3,1,4,4,49600,-49200,1,6,396,17,2,1,2,0,0,81500,16300,8150,57050,2,0,0,5.536173288337491,-66778.64,12,2,0,0,0,1,0,0,1,0,1,0,0,0,0,2015,1,22,2012,12,24
65,29,133889,0,2000,1441.6,5000000,472223,1,4,11,11,3,0,0,0,1,136,21,3,1,0,0,0,62900,6290,12580,44030,7,17,0,3.6360062893081766,-45600.8,27,1,0,0,0,1,0,0,1,0,1,0,0,1,0,2015,1,12,2004,6,14
285,48,159536,1,2000,1101.85,0,457875,1,1,11,7,5,46100,0,3,6,239,9,1,0,1,2,1,33480,3720,3720,26040,9,29,0,2.5321050959749516,-20257.800000000003,13,3,0,1,0,0,1,0,0,1,1,0,0,0,0,2015,2,27,2013,2,4
39,22,691115,2,500,1173.21,0,431202,0,3,4,14,1,0,0,4,3,421,14,1,1,0,1,1,86130,15660,7830,62640,11,21,1,6.117830567417598,-72051.48,16,0,0,1,0,1,0,0,0,1,0,0,0,0,1,2015,2,14,1993,1,28
213,35,844129,0,500,871.46,0,477938,0,4,12,12,0,58500,-77700,4,4,495,13,1,1,2,0,1,74140,13480,6740,53920,5,13,0,7.089635018627743,-63682.479999999996,18,1,0,1,0,0,1,1,0,0,0,1,0,1,0,2015,1,22,1990,9,20
253,41,261315,0,2000,1312.75,0,471453,1,6,11,7,2,81300,0,4,6,410,10,3,0,2,2,1,80740,7340,14680,58720,12,9,1,5.125372944835904,-64987.0,11,2,0,0,0,1,0,0,1,0,0,0,0,0,0,2015,1,1,2013,4,10
229,41,378587,0,2000,1107.59,3000000,468202,0,6,12,5,1,65400,0,1,1,662,23,1,0,1,3,0,62640,10440,10440,41760,8,7,0,4.712935291940159,-49348.92,16,2,0,1,0,0,1,0,1,0,0,0,0,1,0,2015,1,23,1998,12,16
192,40,175177,1,1000,1405.99,0,472895,1,0,11,19,5,0,0,5,6,419,18,3,1,1,0,1,42930,9540,4770,28620,2,38,0,2.5444704443132595,-26058.12,20,2,0,0,0,0,1,0,0,0,1,0,0,0,0,2015,3,1,2004,4,15
375,50,120485,0,1000,1275.39,0,466283,0,0,11,3,2,0,0,1,5,806,16,1,1,2,3,0,37280,0,0,37280,1,5,1,2.435856221757005,-21975.32,29,3,0,1,0,0,0,0,0,1,0,0,0,0,0,2015,2,12,2007,2,18
122,33,553436,1,500,1236.5,0,619620,0,6,7,3,0,0,-48700,1,2,812,1,1,0,0,1,0,5060,460,920,3680,9,35,0,0.3410163094756706,9778.0,22,1,1,0,0,1,0,0,0,1,0,0,1,1,0,2015,2,12,1991,6,3
231,37,991553,0,500,920.81,0,467654,1,2,11,5,5,0,0,4,2,369,14,1,1,2,0,0,71190,0,7910,63280,8,7,1,6.442697190517046,-60140.28,28,2,0,1,0,1,0,1,0,0,0,0,0,1,0,2015,2,13,1991,12,12
61,26,766193,0,2000,1188.28,6000000,475916,1,3,4,16,5,0,-53800,5,2,303,16,2,1,1,0,0,53820,11960,5980,35880,5,14,1,3.774362944760494,-39560.64,10,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2015,2,14,2011,7,31
117,28,336047,0,500,1264.77,0,447300,1,0,13,19,4,47500,-32500,4,6,345,13,2,1,0,1,0,55440,5040,10080,40320,11,15,1,3.652838065419009,-40262.76,16,1,0,0,0,1,0,1,0,0,0,1,0,1,0,2015,2,5,2003,4,21
255,39,143109,0,500,1453.95,0,470389,1,6,1,3,1,38200,0,6,6,267,17,3,1,0,3,0,29300,2930,5860,20510,1,4,0,1.6793333104072812,-11852.599999999999,15,2,0,0,0,0,1,1,0,0,0,1,0,1,0,2015,1,7,2001,7,9
94,26,215278,2,500,722.66,0,433696,0,4,3,4,0,50300,0,2,6,79,6,3,1,1,2,1,36700,3670,7340,25690,9,29,0,4.232050111163387,-28028.08,15,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2015,1,23,2007,10,24
78,27,309323,0,500,1060.88,0,613931,0,3,7,16,2,0,-66500,4,3,875,4,1,0,0,3,0,6050,550,1100,4400,13,28,0,0.4752343966015634,6680.560000000001,16,1,1,0,0,1,0,0,0,1,0,0,1,0,1,2015,2,3,1992,2,29
61,26,766193,0,2000,1188.28,6000000,475916,1,3,4,16,5,0,-53800,5,2,303,16,2,1,1,0,0,53820,11960,5980,35880,5,14,1,3.774362944760494,-39560.64,10,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2015,2,14,2011,7,31
174,33,179538,2,2000,1124.43,0,477346,1,1,4,13,3,0,0,6,4,101,14,3,1,0,1,1,44200,8840,4420,30940,10,2,0,3.275733779188863,-30706.84,30,1,0,0,0,1,0,0,0,0,0,1,0,1,0,2015,1,16,2014,4,7
338,49,348209,2,1000,1279.08,0,449718,0,4,7,11,3,0,-51500,0,5,758,13,1,0,0,1,0,4300,860,860,2580,5,14,0,0.28014927395732353,11048.96,21,3,1,0,0,1,0,0,0,1,1,0,0,0,1,2015,2,27,1994,2,22
286,41,710741,1,500,1106.77,0,603320,1,1,9,9,2,45500,-62500,6,1,716,3,1,0,2,0,0,5000,500,500,4000,4,30,0,0.3764708716957152,8281.24,22,2,1,0,0,1,0,0,0,1,0,0,1,0,0,2015,2,26,2001,9,12
154,34,598554,2,500,795.23,0,609216,0,6,6,0,2,36900,0,1,6,629,15,3,1,2,1,0,69480,15440,0,54040,9,26,1,7.28091244042604,-59937.24,11,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2015,1,10,1990,2,14
256,39,104594,0,1000,1351.1,0,478456,1,6,12,3,4,0,0,4,0,891,19,3,0,0,2,0,64100,6410,6410,51280,10,3,1,3.9535686971109962,-47886.8,22,2,0,0,0,1,0,1,0,0,0,0,0,1,0,2015,1,2,2006,10,12
235,39,836349,1,2000,1453.61,4000000,619570,0,3,2,19,2,0,0,0,2,517,10,1,0,0,3,0,60320,9280,9280,41760,3,34,1,3.4580572964321012,-42876.68,13,2,0,1,0,0,1,0,1,0,0,0,0,0,1,2015,1,13,2013,5,1
274,45,589094,2,1000,1353.53,0,451467,1,3,12,6,4,54700,-47900,1,1,206,13,1,1,0,0,0,58500,11700,0,46800,0,23,1,3.60169334998116,-42257.64,30,2,0,1,0,0,1,0,0,0,1,0,0,1,0,2015,1,14,2003,5,27
79,26,206213,1,500,1451.62,0,456446,0,0,12,11,1,0,-55700,6,1,427,19,1,0,2,2,0,40000,8000,4000,28000,2,22,0,2.296285070013732,-22580.56,15,1,0,1,0,1,0,0,0,0,1,0,0,0,0,2015,1,3,1995,5,8
1,33,388616,0,2000,1391.63,0,466390,0,0,11,18,0,61200,0,1,1,837,23,1,1,0,3,0,69400,6940,6940,55520,8,7,0,4.155798116836611,-52700.44,25,1,0,1,0,0,1,0,1,0,0,1,0,1,0,2015,2,26,1995,12,6
215,37,761189,2,500,1632.93,0,614417,1,1,13,9,1,0,-42900,4,5,784,7,3,0,2,0,1,57120,9520,4760,42840,8,7,0,2.915005542184907,-37524.84,23,2,0,0,0,1,0,1,0,0,1,0,0,0,0,2015,2,23,2002,12,28
107,31,356590,2,500,1239.22,7000000,476458,1,2,12,13,1,43400,-91200,4,6,918,12,1,1,0,1,0,89700,13800,13800,62100,1,5,1,6.032020141702039,-74829.36,16,1,0,1,0,0,1,1,0,0,1,0,0,1,0,2015,1,30,2011,8,17
194,34,573572,1,500,1429.96,0,463307,1,3,10,2,0,67800,0,1,3,959,11,3,0,1,2,1,57200,11440,5720,40040,12,9,0,3.333426576034761,-40040.479999999996,20,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2015,1,12,1991,6,16
257,43,553565,2,2000,929.7,6000000,618632,1,6,5,0,0,46400,-74300,5,0,316,12,1,0,2,2,1,63240,10540,5270,47430,8,12,0,5.6684952135097335,-52083.6,20,2,0,1,0,0,0,0,1,0,0,1,0,0,1,2015,1,14,1999,2,18
446,61,338070,2,1000,1037.32,0,438837,1,2,12,16,5,0,-15700,0,2,483,1,3,0,2,1,0,80880,6740,13480,60660,9,35,0,6.497512821501561,-68432.16,20,4,0,0,0,1,0,0,0,1,1,0,0,0,1,2015,1,30,2006,1,25
290,45,219028,0,1000,1311.3,0,451550,1,0,6,5,5,38500,0,1,2,34,23,3,1,0,0,1,52650,5850,5850,40950,5,14,1,3.345916266300618,-36914.4,24,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2015,1,10,1991,7,18
145,34,454758,2,1000,1142.48,0,608813,1,3,8,17,2,0,0,0,3,864,18,1,1,2,0,0,52250,9500,4750,38000,11,21,0,3.811153513992951,-38540.24,13,1,0,1,0,0,1,0,0,0,0,1,0,0,0,2015,1,13,1990,5,20
245,40,144323,2,500,885.08,0,459984,1,5,1,16,2,27000,-58900,6,3,347,0,1,1,0,1,0,85150,13100,13100,58950,3,25,0,8.017166056552327,-74529.04,27,2,0,1,0,0,0,0,1,0,0,1,0,0,1,2015,2,6,2001,9,14
257,43,863236,2,2000,1322.1,0,436984,0,2,9,9,3,0,-29200,3,0,165,4,1,1,1,3,1,9020,1640,820,6560,12,9,0,0.5685399490709225,6845.199999999999,20,2,1,0,0,1,0,0,0,1,1,0,0,0,0,2015,1,28,1990,9,20
228,42,342868,2,2000,1197.22,5000000,468176,0,4,6,15,2,0,0,5,5,628,8,1,0,0,0,0,5070,780,780,3510,8,12,1,0.35290088705501077,9296.64,18,2,0,0,1,1,0,0,0,1,1,0,0,1,0,2015,1,21,2006,6,27
112,30,346940,0,1000,1166.54,0,479852,1,5,9,17,1,47700,-59300,4,0,931,3,1,1,2,0,0,107900,10790,21580,75530,4,27,1,7.707979723512839,-93901.52,28,1,0,1,0,0,0,1,0,0,0,0,0,0,1,2015,1,21,2002,9,13
108,29,237418,2,1000,1337.92,0,441536,1,6,1,3,1,71400,0,6,1,750,4,3,0,2,2,1,61380,11160,5580,44640,11,21,0,3.823098541018895,-45324.96,13,1,0,0,0,0,1,0,0,0,1,0,0,0,1,2015,2,23,2007,12,4
238,43,444035,0,1000,1524.45,4000000,607458,0,2,5,5,5,0,-44800,0,2,259,21,4,0,0,0,0,42700,4270,4270,34160,10,1,1,2.33417516700012,-24406.6,30,2,0,0,0,1,0,0,0,0,0,1,0,1,0,2015,2,16,1996,5,11
156,38,231508,1,500,1367.99,0,462525,0,2,1,2,3,26500,0,6,3,173,23,3,0,0,3,0,55200,11040,5520,38640,10,1,1,3.362597679807601,-38784.119999999995,27,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2015,2,17,2009,9,16
8,35,699044,0,2000,1266.92,0,613982,0,5,11,14,3,0,0,2,0,262,16,3,0,1,3,1,71500,16500,11000,44000,5,13,1,4.703006767067639,-56296.96,19,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2015,1,9,2013,12,5
371,54,403776,2,2000,1317.97,0,469853,0,2,2,12,5,34700,-81000,4,1,671,18,3,0,1,2,0,32280,5380,5380,21520,5,16,1,2.0410176255908707,-16464.36,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,1,18,2012,4,27
107,31,356590,2,500,1239.22,7000000,476458,1,2,12,13,1,43400,-91200,4,6,918,12,1,1,0,1,0,89700,13800,13800,62100,1,5,1,6.032020141702039,-74829.36,16,1,0,1,0,0,1,1,0,0,1,0,0,1,0,2015,1,30,2011,8,17
436,58,987905,0,2000,1407.01,5000000,475705,0,6,12,17,2,47400,-27600,6,5,290,10,1,0,0,2,0,59900,11980,5990,41930,2,37,1,3.547712288232967,-43015.880000000005,28,4,0,1,0,1,0,0,0,1,0,0,0,1,0,2015,1,10,2002,4,30
96,29,465065,2,1000,1274.7,5000000,618493,0,1,9,10,2,47500,-58700,0,6,435,15,3,1,2,3,1,55400,5540,11080,38780,3,32,1,3.621767213200491,-40103.6,21,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2015,1,11,2006,12,24
237,40,736882,2,1000,883.31,0,434733,0,1,2,11,0,0,-53500,5,5,162,6,1,0,1,3,0,77880,7080,14160,56640,5,13,0,7.347363892631127,-67280.28,20,2,0,1,0,1,0,0,1,0,1,0,0,0,0,2015,2,24,1996,2,2
149,34,374545,2,500,664.86,0,608963,1,6,2,16,5,0,-60000,6,1,471,3,1,0,0,1,0,105040,16160,16160,72720,4,30,0,13.165678990063071,-97061.68,26,1,0,1,0,1,0,1,0,0,0,1,0,1,0,2015,2,4,2005,8,28
225,39,607259,0,500,1390.72,0,448949,0,5,12,13,2,83900,-52100,4,4,785,6,1,1,2,1,1,5830,1060,530,4240,9,29,0,0.34933943089430897,10858.64,14,2,1,0,0,1,0,0,0,1,0,0,1,1,0,2015,2,20,1996,4,8
154,36,979285,1,2000,1313.51,7000000,600904,1,5,3,7,3,68500,0,4,4,873,9,1,0,2,0,0,2800,280,280,2240,13,28,0,0.1776410787381393,12962.119999999999,10,2,0,0,1,1,0,0,0,1,0,0,1,1,0,2015,2,3,2003,12,17
257,40,414913,2,500,1379.93,0,608228,0,4,1,0,0,0,0,1,1,335,6,3,0,0,2,1,51810,9420,4710,37680,1,4,1,3.128781894733791,-35250.84,23,2,0,0,0,0,1,0,1,0,0,0,0,1,0,2015,2,1,2012,7,17
164,38,319232,1,2000,1269.76,0,467743,1,6,13,19,1,44300,0,1,2,400,4,1,0,1,3,1,90000,18000,9000,63000,5,16,0,5.906628024193549,-74762.88,10,2,0,1,0,1,0,1,0,0,1,0,0,1,0,2015,1,17,1997,10,31
80,27,193442,1,1000,1474.17,0,440327,1,1,12,8,4,0,0,6,3,764,13,1,1,1,0,1,52800,10560,5280,36960,10,3,0,2.984730390660507,-35109.96,21,1,0,1,0,0,1,0,0,1,0,0,0,0,0,2015,2,19,1996,8,5
128,29,743330,0,1000,1878.44,0,450746,0,2,7,9,0,0,-76000,5,5,917,2,1,0,0,0,0,59070,5370,5370,48330,3,25,0,2.6205255424714125,-36528.72,22,1,0,1,0,1,0,1,0,0,0,1,0,0,1,2015,2,20,2010,11,4
106,28,110143,0,2000,1609.11,0,601177,0,2,2,14,3,0,0,6,2,952,8,1,1,2,1,1,5490,0,1220,4270,10,3,0,0.28431866062606037,13819.32,26,1,0,0,1,1,0,0,0,1,1,0,0,0,0,2015,1,18,1990,5,7
20,23,935596,0,1000,1711.72,0,463678,1,3,12,0,5,0,0,4,4,203,21,3,0,2,2,0,63250,5750,11500,46000,3,34,1,3.0792614056816148,-42709.36,23,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2015,1,13,1999,5,1
437,60,901083,0,1000,1269.64,0,602942,1,1,1,6,4,48800,0,4,5,888,10,1,0,1,3,0,84480,7680,15360,61440,3,32,1,5.544878863299833,-69244.32,13,4,0,1,0,0,0,0,1,0,1,0,0,0,1,2015,2,14,1998,1,19
39,22,691115,2,500,1173.21,0,431202,0,3,4,14,1,0,0,4,3,421,14,1,1,0,1,1,86130,15660,7830,62640,11,21,1,6.117830567417598,-72051.48,16,0,0,1,0,1,0,0,0,1,0,0,0,0,1,2015,2,14,1993,1,28
463,57,407958,1,500,1063.67,0,463356,0,5,8,7,5,0,0,1,6,163,14,1,0,2,0,1,59400,6600,6600,46200,4,27,0,4.653698985587635,-46635.96,30,4,0,1,0,0,0,0,0,1,1,0,0,1,0,2015,2,3,1991,7,20
233,43,898519,0,1000,954.18,0,437470,1,1,12,7,2,0,0,4,4,896,17,3,0,2,3,1,42500,8500,4250,29750,9,29,0,3.711738525924529,-31049.84,25,2,0,0,0,0,1,0,1,0,1,0,0,1,0,2015,2,17,2000,5,21
371,51,513099,2,1000,1532.47,0,452587,1,0,12,9,2,60300,-24700,1,0,977,7,1,1,0,3,1,75400,7540,15080,52780,4,30,1,4.100134641026143,-57010.36,13,3,0,1,0,1,0,1,0,0,0,0,0,0,1,2015,1,19,2005,10,15
150,30,354481,2,1000,1342.02,0,608425,0,4,9,14,3,0,0,5,0,587,8,1,1,0,2,0,4500,450,450,3600,10,2,0,0.2794295166987079,11604.24,26,1,1,0,0,1,0,0,0,1,0,0,1,0,0,2015,2,28,2004,11,17
206,36,253791,1,500,1625.45,4000000,607452,1,4,7,18,2,0,-53700,1,4,124,11,1,0,2,1,0,76560,12760,12760,51040,5,16,1,3.9250669045495092,-57054.6,17,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2015,1,23,2009,7,23
404,53,739447,2,500,767.14,0,466201,0,0,11,15,1,25500,-36700,6,1,256,8,1,0,0,1,0,8800,1760,880,6160,11,21,0,0.9559315553006404,405.6800000000003,23,3,1,0,0,1,0,0,0,1,0,0,1,1,0,2015,1,14,2014,12,10
156,37,384618,2,500,1090.65,0,608331,0,2,3,9,4,0,-51800,0,1,688,16,4,0,1,2,1,53400,5340,5340,42720,6,10,1,4.080135698895154,-40312.2,15,2,0,0,0,1,0,0,0,1,1,0,0,1,0,2015,1,16,1993,2,9
8,35,699044,0,2000,1266.92,0,613982,0,5,11,14,3,0,0,2,0,262,16,3,0,1,3,1,71500,16500,11000,44000,5,13,1,4.703006767067639,-56296.96,19,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2015,1,9,2013,12,5
246,39,354455,2,1000,1416.08,0,612546,1,3,2,19,2,0,-36600,6,4,641,16,1,1,0,3,0,45180,5020,5020,35140,6,8,0,2.6587480933280605,-28187.04,21,2,0,1,0,1,0,0,0,0,1,0,0,1,0,2015,1,27,2007,4,19
110,27,284834,0,1000,1664.66,0,465921,1,0,8,9,3,0,-66200,4,6,844,3,1,0,0,3,0,57500,5750,5750,46000,1,4,0,2.8784656726698943,-37524.08,15,1,0,1,0,0,1,0,0,0,0,1,0,0,1,2015,2,5,2009,8,3
20,23,935596,0,1000,1711.72,0,463678,1,3,12,0,5,0,0,4,4,203,21,3,0,2,2,0,63250,5750,11500,46000,3,34,1,3.0792614056816148,-42709.36,23,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2015,1,13,1999,5,1
186,38,536052,0,2000,1218.56,0,477373,1,5,13,18,0,39300,-60300,5,0,407,23,3,1,2,2,0,68760,11460,5730,51570,10,3,1,4.7022715336134455,-54137.28,27,2,0,0,0,0,0,0,0,1,0,1,0,1,0,2015,3,1,2006,4,21
102,32,783494,0,500,1537.07,3000000,457733,0,3,12,5,5,0,0,2,3,614,11,1,0,1,0,0,47400,9480,4740,33180,3,32,1,2.5698244061753854,-28955.16,21,1,0,1,0,0,1,0,1,0,0,1,0,0,0,2015,2,4,2014,9,2
123,29,379268,2,500,1209.63,0,447188,1,5,6,5,1,64800,-44200,0,0,824,17,1,1,1,0,1,73260,16280,0,56980,13,20,1,5.0469978423154185,-58744.44,11,1,0,1,0,1,0,0,0,0,1,0,0,1,0,2015,1,14,2012,8,5
289,48,231127,1,500,1173.37,8000000,461744,1,6,5,2,3,0,-42700,4,6,29,1,1,0,1,0,0,42900,8580,0,34320,0,33,0,3.046779788131621,-28819.56,26,3,0,1,0,0,0,0,1,0,0,1,0,0,1,2015,1,9,1995,8,29
234,43,965187,0,500,1257.04,0,448294,0,0,10,15,3,0,-48800,4,4,694,4,1,0,2,2,1,51600,10320,5160,36120,4,27,0,3.4207344237255777,-36515.520000000004,14,2,0,1,0,1,0,0,0,1,0,0,0,1,0,2015,3,1,1990,3,26
